Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
1350,-0.56543,0.481934,0.611328,0
1370,-0.563965,0.480957,0.613281,0
1390,-0.568848,0.48291,0.61084,0
1410,-0.572266,0.479004,0.614746,0
1430,-0.564453,0.485352,0.61377,0
1450,-0.567383,0.482422,0.60791,0
1470,-0.572754,0.483887,0.620117,0
1490,-0.571777,0.488281,0.618164,0
1510,-0.573242,0.479492,0.61084,0
1530,-0.579102,0.487305,0.60498,0
1550,-0.574707,0.484375,0.60498,0
1570,-0.572266,0.475098,0.609863,0
1590,-0.573242,0.474609,0.617188,0
1610,-0.568848,0.479004,0.615723,0
1630,-0.571777,0.5,0.605957,0
1650,-0.568359,0.5,0.601562,0
1670,-0.577637,0.474609,0.607422,0
1690,-0.574707,0.459961,0.607422,0
1710,-0.547363,0.505371,0.600098,0
1730,-0.59082,0.485352,0.646973,0
1750,-0.536133,0.470703,0.62793,0
1770,-0.563477,0.490234,0.618164,0
1790,-0.557617,0.475586,0.602051,0
1810,-0.567383,0.472656,0.621582,0
1830,-0.567871,0.470703,0.609375,0
1850,-0.571289,0.484375,0.618652,0
1870,-0.569336,0.490234,0.619629,0
1890,-0.564453,0.480957,0.62207,0
1910,-0.569824,0.477051,0.617676,0
1930,-0.571289,0.481445,0.630371,0
1950,-0.568848,0.470703,0.622559,0
1970,-0.567383,0.479492,0.617676,0
1990,-0.568848,0.476562,0.61377,0
2010,-0.567871,0.477051,0.615234,0
2030,-0.569824,0.480469,0.623535,0
2050,-0.570312,0.476074,0.619141,0
2070,-0.571777,0.474609,0.613281,0
2090,-0.569336,0.475586,0.618652,0
2110,-0.571289,0.470215,0.619141,0
2130,-0.569824,0.478027,0.611816,0
2150,-0.568359,0.490234,0.614746,0
2170,-0.568848,0.481445,0.621094,0
2190,-0.562012,0.489258,0.623535,0
2200,-0.55957,0.484863,0.625,0
2220,-0.56543,0.480469,0.622559,0
2240,-0.564453,0.480957,0.614746,0
2260,-0.566895,0.476074,0.614258,0
2280,-0.57373,0.476074,0.611816,0
2300,-0.572754,0.478516,0.618164,0
2320,-0.573242,0.478027,0.624023,0
2340,-0.576172,0.480469,0.619629,0
2360,-0.573242,0.479004,0.618164,0
2380,-0.572754,0.472168,0.614258,0
2400,-0.572266,0.480957,0.614746,0
2420,-0.571777,0.476562,0.618164,0
2440,-0.572266,0.475098,0.61377,0
2460,-0.565918,0.480469,0.617188,0
2480,-0.570312,0.478027,0.611328,0
2500,-0.570312,0.481445,0.620117,0
2520,-0.571777,0.480957,0.61084,0
2540,-0.566895,0.476562,0.612305,0
2560,-0.566895,0.48584,0.616211,0
2580,-0.568848,0.48584,0.614746,0
2600,-0.568359,0.480469,0.615723,0
2620,-0.567871,0.47998,0.611816,0
2640,-0.57373,0.472168,0.620117,0
2660,-0.574219,0.476074,0.612305,0
2680,-0.573242,0.478027,0.606934,0
2700,-0.578613,0.470703,0.605957,0
2720,-0.580078,0.477539,0.604004,0
2740,-0.576172,0.483398,0.608398,0
2760,-0.571777,0.483887,0.617188,0
2780,-0.559082,0.492188,0.615723,0
2800,-0.558594,0.492676,0.630859,0
2820,-0.553711,0.485352,0.637695,0
2840,-0.561523,0.48877,0.629883,0
2860,-0.568359,0.479492,0.629395,0
2880,-0.576172,0.478516,0.61377,0
2900,-0.580078,0.475098,0.608398,0
2920,-0.57959,0.472656,0.605469,0
2940,-0.575195,0.475098,0.61084,0
2960,-0.574707,0.468262,0.611328,0
2980,-0.566406,0.471191,0.612793,0
3000,-0.574219,0.478516,0.610352,0
3020,-0.57373,0.482422,0.60791,0
3040,-0.570801,0.484375,0.609375,0
3060,-0.568848,0.495117,0.617188,0
3080,-0.566895,0.484375,0.617188,0
3100,-0.561523,0.481934,0.629395,0
3120,-0.567383,0.48584,0.623047,0
3140,-0.571777,0.485352,0.616211,0
3160,-0.574707,0.487793,0.607422,0
3180,-0.578125,0.474121,0.608887,0
3200,-0.574219,0.478027,0.61377,0
3220,-0.574219,0.493164,0.609375,0
3240,-0.570312,0.493164,0.610352,0
3260,-0.567383,0.487305,0.609863,0
3280,-0.570801,0.480957,0.605957,0
3300,-0.57666,0.476562,0.602051,0
3320,-0.578613,0.480957,0.61084,0
3340,-0.578125,0.478027,0.609375,0
3360,-0.575195,0.478027,0.60498,0
3380,-0.57666,0.48584,0.61377,0
3400,-0.576172,0.48291,0.608398,0
3420,-0.574707,0.482422,0.608398,0
3440,-0.568359,0.484863,0.60498,0
3460,-0.577148,0.481934,0.617676,0
3480,-0.578613,0.48291,0.610352,0
3500,-0.57373,0.487793,0.612305,0
3520,-0.573242,0.48291,0.61084,0
3540,-0.570801,0.479004,0.609375,0
3560,-0.571777,0.478516,0.611816,0
3580,-0.577637,0.47998,0.60791,0
3600,-0.574219,0.478027,0.611816,0
3620,-0.579102,0.480469,0.612793,0
3640,-0.577637,0.485352,0.609375,0
3660,-0.576172,0.480469,0.608398,0
3680,-0.576172,0.477539,0.606445,0
3700,-0.57666,0.484863,0.603516,0
3720,-0.57666,0.477051,0.600586,0
3740,-0.577637,0.472168,0.604492,0
3760,-0.577148,0.482422,0.602051,0
3780,-0.582031,0.483398,0.615234,0
3800,-0.578125,0.482422,0.608398,0
3820,-0.572266,0.484863,0.612793,0
3840,-0.574707,0.483398,0.616699,0
3860,-0.578613,0.486816,0.619629,0
3880,-0.577148,0.487793,0.61084,0
3900,-0.572266,0.480469,0.604492,0
3920,-0.571289,0.476074,0.605469,0
3940,-0.583008,0.477051,0.608887,0
3960,-0.580566,0.476074,0.609863,0
3980,-0.575684,0.481934,0.605469,0
4000,-0.569336,0.475586,0.597656,0
4020,-0.573242,0.486328,0.591797,0
4040,-0.580078,0.486816,0.608398,0
4060,-0.583496,0.48584,0.622559,0
4080,-0.584961,0.48877,0.624512,0
4100,-0.589844,0.491699,0.618652,0
4120,-0.593262,0.48291,0.605957,0
4140,-0.589355,0.481934,0.592285,0
4160,-0.594727,0.464355,0.586426,0
4180,-0.584473,0.467773,0.594238,0
4200,-0.57373,0.478516,0.595703,0
4220,-0.563965,0.48291,0.600098,0
4240,-0.563965,0.490234,0.603027,0
4260,-0.568848,0.490234,0.603027,0
4280,-0.577148,0.497559,0.606445,0
4300,-0.580566,0.501465,0.611816,0
4320,-0.585449,0.491699,0.625,0
4340,-0.58252,0.491699,0.620605,0
4360,-0.575684,0.487305,0.625488,0
4380,-0.578613,0.470703,0.614258,0
4400,-0.586426,0.470215,0.60791,0
4420,-0.580078,0.46875,0.605469,0
4440,-0.580566,0.448242,0.600098,0
4460,-0.582031,0.458496,0.594727,0
4480,-0.586426,0.474121,0.587891,0
4500,-0.59082,0.494629,0.57666,0
4520,-0.595215,0.503418,0.581055,0
4540,-0.589844,0.502441,0.587891,0
4560,-0.59668,0.500488,0.588867,0
4580,-0.591309,0.496582,0.602051,0
4600,-0.589355,0.483887,0.598633,0
4620,-0.570801,0.48291,0.601562,0
4640,-0.575684,0.478516,0.60791,0
4660,-0.572754,0.47998,0.617676,0
4680,-0.572266,0.483887,0.624023,0
4700,-0.563477,0.486816,0.615723,0
4720,-0.54834,0.489746,0.619629,0
4740,-0.549805,0.491699,0.622559,0
4760,-0.539062,0.483398,0.634277,0
4780,-0.536133,0.489258,0.631836,0
4800,-0.543457,0.481445,0.625488,0
4820,-0.547363,0.477539,0.626465,0
4840,-0.551758,0.474609,0.620605,0
4860,-0.556641,0.463867,0.621582,0
4880,-0.561035,0.457031,0.620605,0
4900,-0.561035,0.455078,0.630371,0
4920,-0.566895,0.45459,0.62793,0
4940,-0.571289,0.471191,0.635254,0
4960,-0.569824,0.473145,0.627441,0
4980,-0.572266,0.466309,0.64209,0
5000,-0.571777,0.467773,0.648926,0
5020,-0.561523,0.46875,0.644043,0
5040,-0.550293,0.466309,0.63916,0
5060,-0.547852,0.46582,0.645508,0
5080,-0.546875,0.460938,0.65332,0
5100,-0.541016,0.458984,0.651855,0
