Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
1065,-2,-2,-5,-5,5,-8,25,6,0
1070,10,8,7,-2,-33,2,-2,15,0
1075,6,1,-5,-20,-38,-27,-35,-13,0
1080,-8,-5,-2,-15,-5,25,27,-29,0
1085,-12,-17,-6,17,-1,-35,10,38,0
1090,-17,-12,-10,-12,-2,9,-11,-23,0
1095,20,30,18,9,-18,-40,-54,3,0
1100,-6,-5,-8,-11,-5,22,102,-22,0
1105,-8,-15,-18,-14,-7,-74,-80,37,0
1110,8,17,13,13,15,23,54,10,0
1115,0,-9,-6,-2,-12,-11,39,1,0
1120,-15,-9,-3,-4,-16,-4,29,-5,0
1125,3,9,6,6,30,1,-76,-30,0
1130,6,-8,-2,3,12,-18,-12,12,0
1135,-5,-4,-4,-6,-9,-6,-16,-1,0
1140,-10,-7,-6,-3,4,1,-29,-12,0
1145,-2,2,3,1,-6,20,48,-3,0
1150,8,11,8,-6,-14,4,-15,-9,0
1155,-6,-8,-8,6,22,9,9,28,0
1160,-7,-13,-10,3,32,1,-38,-3,0
1165,11,12,0,-5,15,37,-28,-11,0
1170,15,27,14,12,11,15,53,5,0
1175,-15,-14,-6,-5,-17,-26,-24,-15,0
1180,-4,-15,-6,5,10,3,-18,2,0
1185,-4,-7,-5,-6,-9,13,35,4,0
1190,11,29,13,3,12,28,6,-25,0
1195,-34,6,0,-6,-6,-28,-79,-12,0
1200,35,-16,3,9,-1,3,21,20,0
1205,3,-12,-24,-17,-7,15,26,8,0
1210,-13,-9,-9,-8,-11,-10,-25,-12,0
1215,3,21,11,-1,-5,4,44,-9,0
1220,21,44,16,4,9,15,18,26,0
1225,5,25,4,-1,-1,-15,16,13,0
1230,-3,-43,-13,4,9,0,7,-10,0
1235,-4,6,-2,-12,4,34,86,6,0
1240,-7,-13,-5,5,-11,-26,32,23,0
1245,1,6,7,4,3,-3,-8,-2,0
1250,-1,9,-4,-8,4,28,65,0,0
1255,-11,-21,3,11,-4,-20,-22,-9,0
