Timestamp, Angle x, Angle y, Angle z, Marker
4840,-0.570779,0.642212,-2.85105,0
4860,-0.572701,0.640576,-2.85451,0
4880,-0.57404,0.639346,-2.85705,0
4900,-0.574707,0.638799,-2.85876,0
4920,-0.575233,0.6389,-2.85963,0
4940,-0.573951,0.639311,-2.85908,0
4960,-0.572073,0.640081,-2.85791,0
4980,-0.570146,0.640992,-2.85619,0
5000,-0.568652,0.642142,-2.85453,0
5020,-0.567227,0.64283,-2.85263,0
5040,-0.565559,0.643579,-2.85081,0
5060,-0.564542,0.644374,-2.84934,0
5080,-0.563243,0.645191,-2.84791,0
5100,-0.562538,0.645968,-2.84707,0
5120,-0.562388,0.64607,-2.84705,0
5140,-0.561531,0.646404,-2.84701,0
5160,-0.561713,0.646397,-2.84803,0
5180,-0.562025,0.646064,-2.84912,0
5200,-0.563035,0.645958,-2.85106,0
5220,-0.563543,0.645702,-2.85267,0
5240,-0.563905,0.645231,-2.85431,0
5260,-0.564273,0.645127,-2.85603,0
5280,-0.565734,0.644764,-2.85857,0
5300,-0.566122,0.64425,-2.86075,0
5320,-0.566377,0.643976,-2.86295,0
5340,-0.567372,0.643732,-2.86484,0
5360,-0.568682,0.643644,-2.86645,0
5380,-0.570131,0.64354,-2.86725,0
5400,-0.571387,0.644082,-2.86735,0
5420,-0.572463,0.644457,-2.86735,0
5440,-0.57314,0.644951,-2.86728,0
5460,-0.572935,0.644878,-2.86718,0
5480,-0.573464,0.644929,-2.8675,0
5500,-0.573681,0.644732,-2.86778,0
5520,-0.573822,0.644631,-2.86822,0
5540,-0.574617,0.644573,-2.869,0
5560,-0.575323,0.644386,-2.86956,0
5580,-0.575488,0.644418,-2.86962,0
5600,-0.575488,0.644418,-2.86962,0
5620,-0.575505,0.644554,-2.86967,0
5640,-0.575505,0.644554,-2.86967,0
5660,-0.575175,0.644489,-2.86954,0
5680,-0.57428,0.644511,-2.86928,0
5700,-0.572941,0.644843,-2.86897,0
5720,-0.572303,0.644937,-2.86867,0
5740,-0.57199,0.645008,-2.86859,0
5760,-0.571676,0.645079,-2.8685,0
5790,-0.571197,0.645208,-2.86868,0
5810,-0.570479,0.645311,-2.86862,0
5830,-0.56979,0.645088,-2.86852,0
5850,-0.569056,0.645056,-2.86841,0
5870,-0.568567,0.645046,-2.86813,0
5890,-0.567452,0.645178,-2.86768,0
5900,-0.566543,0.645064,-2.86738,0
5920,-0.565428,0.64497,-2.8673,0
5940,-0.564388,0.64487,-2.8674,0
5960,-0.563185,0.64442,-2.86747,0
5980,-0.56195,0.644017,-2.86741,0
6000,-0.560437,0.643639,-2.8674,0
6020,-0.559021,0.643387,-2.8672,0
6040,-0.558044,0.643055,-2.8671,0
6060,-0.556765,0.642875,-2.86641,0
6080,-0.554792,0.642618,-2.86575,0
6100,-0.552432,0.642532,-2.86517,0
6110,-0.550847,0.642198,-2.86477,0
6130,-0.549754,0.641559,-2.8647,0
6150,-0.549034,0.641298,-2.86455,0
6170,-0.548042,0.641149,-2.86437,0
6190,-0.547036,0.640864,-2.86414,0
6210,-0.545784,0.640502,-2.86355,0
6230,-0.545124,0.6401,-2.86354,0
6250,-0.544323,0.639486,-2.86355,0
6270,-0.543551,0.639145,-2.86366,0
6290,-0.542883,0.638976,-2.86369,0
6310,-0.542883,0.638976,-2.86369,0
6330,-0.542883,0.638976,-2.86369,0
6350,-0.542883,0.638976,-2.86369,0
6370,-0.542686,0.638989,-2.86349,0
6390,-0.542883,0.638976,-2.86369,0
6410,-0.542883,0.638976,-2.86369,0
6430,-0.542883,0.638976,-2.86369,0
6450,-0.542848,0.639021,-2.86356,0
6470,-0.543042,0.639229,-2.86338,0
6490,-0.543823,0.639032,-2.86369,0
6510,-0.544424,0.638762,-2.86423,0
6530,-0.544586,0.638487,-2.86476,0
6550,-0.545141,0.639022,-2.86438,0
6570,-0.546602,0.639883,-2.8635,0
6590,-0.547996,0.640305,-2.86319,0
6610,-0.547996,0.640305,-2.86319,0
6630,-0.547631,0.640072,-2.86372,0
6650,-0.547491,0.639636,-2.86412,0
6670,-0.54745,0.639006,-2.86436,0
6690,-0.547612,0.639038,-2.86442,0
6710,-0.548153,0.63913,-2.86446,0
6730,-0.549358,0.63971,-2.86442,0
6750,-0.550655,0.640328,-2.86427,0
6770,-0.551387,0.640949,-2.86408,0
6790,-0.55186,0.641133,-2.86386,0
6810,-0.552421,0.641046,-2.86398,0
6830,-0.552421,0.641046,-2.86398,0
6850,-0.551929,0.641043,-2.86412,0
6870,-0.550992,0.640975,-2.8637,0
6890,-0.551196,0.640954,-2.86347,0
6910,-0.552313,0.640814,-2.8635,0
6930,-0.552935,0.640896,-2.8633,0
6950,-0.553216,0.641461,-2.86297,0
6970,-0.553781,0.641684,-2.86263,0
6990,-0.553859,0.641896,-2.86202,0
7010,-0.553859,0.641896,-2.86202,0
7030,-0.55393,0.642116,-2.86182,0
7050,-0.554333,0.642082,-2.8618,0
7070,-0.555082,0.641932,-2.86198,0
7090,-0.55564,0.642163,-2.86207,0
7110,-0.55656,0.642413,-2.86241,0
7130,-0.557012,0.64247,-2.86255,0
7150,-0.557012,0.64247,-2.86255,0
7170,-0.55762,0.642791,-2.86281,0
7190,-0.558674,0.642802,-2.86313,0
7210,-0.559276,0.642756,-2.8633,0
7230,-0.559912,0.642663,-2.8636,0
7250,-0.559912,0.642663,-2.8636,0
7270,-0.560315,0.64263,-2.86357,0
7290,-0.560315,0.64263,-2.86357,0
7310,-0.560315,0.64263,-2.86357,0
7330,-0.561081,0.642617,-2.8638,0
7350,-0.561755,0.642791,-2.86377,0
7370,-0.562719,0.642989,-2.86383,0
7390,-0.563485,0.643202,-2.86369,0
7410,-0.563938,0.643486,-2.86347,0
7430,-0.563954,0.643622,-2.86352,0
7450,-0.563954,0.643622,-2.86352,0
7470,-0.563954,0.643622,-2.86352,0
7490,-0.563954,0.643622,-2.86352,0
7510,-0.563954,0.643622,-2.86352,0
7530,-0.564118,0.643655,-2.86358,0
7550,-0.564118,0.643655,-2.86358,0
7570,-0.564118,0.643655,-2.86358,0
7590,-0.564118,0.643655,-2.86358,0
7610,-0.564118,0.643655,-2.86358,0
7630,-0.564118,0.643655,-2.86358,0
7650,-0.564118,0.643655,-2.86358,0
7670,-0.564629,0.643797,-2.86349,0
7690,-0.564645,0.643933,-2.86354,0
7710,-0.564645,0.643933,-2.86354,0
7730,-0.564645,0.643933,-2.86354,0
7750,-0.564645,0.643933,-2.86354,0
7770,-0.564645,0.643933,-2.86354,0
7790,-0.564645,0.643933,-2.86354,0
7810,-0.564809,0.643966,-2.8636,0
7830,-0.56477,0.643925,-2.86356,0
7850,-0.564514,0.643854,-2.8636,0
7870,-0.564465,0.643538,-2.8638,0
7890,-0.564465,0.643538,-2.8638,0
7910,-0.564301,0.643505,-2.86373,0
7930,-0.564465,0.643538,-2.8638,0
7950,-0.564465,0.643538,-2.8638,0
7970,-0.564373,0.643726,-2.86354,0
7990,-0.564099,0.644064,-2.86313,0
8010,-0.564065,0.64411,-2.863,0
8030,-0.56424,0.644192,-2.86319,0
8050,-0.564099,0.644064,-2.86313,0
8070,-0.56424,0.644192,-2.86319,0
8080,-0.56424,0.644192,-2.86319,0
8100,-0.56424,0.644192,-2.86319,0
8120,-0.56424,0.644192,-2.86319,0
8140,-0.56424,0.644192,-2.86319,0
8160,-0.56424,0.644192,-2.86319,0
8180,-0.564774,0.644239,-2.8631,0
8200,-0.565502,0.644185,-2.86329,0
8220,-0.56603,0.644464,-2.86324,0
8240,-0.56603,0.644464,-2.86324,0
8260,-0.566466,0.644704,-2.86331,0
8280,-0.566591,0.644697,-2.86333,0
8300,-0.566591,0.644697,-2.86333,0
8320,-0.566607,0.644832,-2.86337,0
8340,-0.566607,0.644832,-2.86337,0
8360,-0.566607,0.644832,-2.86337,0
8380,-0.566771,0.644865,-2.86344,0
8400,-0.566771,0.644865,-2.86344,0
8420,-0.566771,0.644865,-2.86344,0
8440,-0.567153,0.644929,-2.86342,0
8460,-0.568052,0.644995,-2.86358,0
8480,-0.568399,0.645106,-2.86343,0
8500,-0.568929,0.645067,-2.86343,0
8520,-0.569449,0.64498,-2.86329,0
8540,-0.570143,0.645292,-2.86331,0
8560,-0.57049,0.645403,-2.86316,0
8580,-0.57049,0.645403,-2.86316,0
8600,-0.571234,0.645805,-2.86335,0
8620,-0.57193,0.645799,-2.86341,0
