Timestamp, Rotation x, Rotation y, Rotation z, Marker
13330,15.75,-8.375,-9.625,0
13350,20.5,-9.125,-16.9375,0
13370,24.875,-6.625,-11.5625,0
13390,10.6875,-2.625,-11,0
13400,13,-7.875,-17.8125,0
13420,27.1875,-9.8125,-15.6875,0
13440,31.0625,-5.125,-3.875,0
13460,13.875,-1.125,-11.375,0
13480,-1.6875,0,-12.0625,0
13500,-13.625,2.375,-3.8125,0
13520,-4.4375,2.4375,-1.3125,0
13540,5.25,-1.3125,3.125,0
13560,11.125,-3.125,-0.5625,0
13580,12.25,-0.8125,-3,0
13600,8.375,1.1875,-3.25,0
13620,-1.1875,3.125,-3.5,0
13640,-9.1875,1.75,0.375,0
13660,-5.625,0.1875,4.0625,0
13690,-3.4375,7.4375,8.625,0
13730,-5.5625,9.375,10.5,0
13750,-5.5625,10.875,8.625,0
13760,-18.5,16.8125,14.6875,0
13780,-32,20.25,16.875,0
13800,-29.625,16.3125,3.25,0
13820,-22.4375,13.5625,1.4375,0
13840,-20,11.6875,10.375,0
13860,-13.25,9,4.6875,0
13880,-4.3125,7.8125,1.5625,0
13900,-10.5,8.875,6.4375,0
13920,-19,8.5625,4.1875,0
13940,-21.375,9.0625,2.3125,0
13960,-16.1875,9.5625,6,0
13980,-8,12,5.6875,0
14000,-10.4375,7.625,-0.375,0
14020,-3.875,4.375,5.125,0
14040,1.4375,4.5,6.375,0
14060,-3.5,4.1875,1.8125,0
14080,-8.375,3.25,4.125,0
14100,-12,2.4375,3.4375,0
14120,-3.9375,3,-0.5,0
