C1,C2,C3,C4,C5,C6,C7,C8,Marker
-1,-2,-2,3,-2,-3,-1,-2,NAN
-1,-1,6,-6,-4,-1,0,-3,NAN
-1,1,0,-3,0,3,-1,-2,NAN
-4,0,0,10,5,-2,-1,-4,NAN
1,-1,-3,-1,0,-1,-1,1,NAN
-6,0,-3,-6,-4,1,-3,0,NAN
0,0,-1,2,-4,-3,2,0,NAN
1,-1,0,-3,-4,-1,-4,0,NAN
-1,1,-2,-1,1,0,2,-2,NAN
1,0,-2,-1,0,-1,0,1,NAN
1,-2,-2,-1,-1,0,0,-1,NAN
-1,-3,-3,-1,-2,-2,-2,-2,NAN
-1,-3,-1,5,-1,0,-1,0,NAN
-6,-2,-3,-3,-1,0,-2,-1,NAN
0,0,-1,0,-2,-3,-1,-1,NAN
0,-1,0,8,0,1,1,2,NAN
-2,-1,-2,-3,0,-1,-1,-2,NAN
-3,-3,-2,-2,-1,-4,0,-2,NAN
2,-1,-2,-2,-5,-2,-3,-1,NAN
0,-3,0,1,2,1,-2,-3,NAN
0,-1,-1,-3,-3,0,-1,3,NAN
2,0,-2,-1,-1,-5,1,-3,NAN
3,0,-3,-1,-2,0,0,-2,NAN
1,1,1,1,1,1,0,0,NAN
-1,-2,0,-2,0,0,0,-3,NAN
0,0,-3,-3,-1,-1,-2,-1,NAN
-5,1,2,-1,-1,-2,-1,0,NAN
-2,-1,-2,-2,-3,-2,1,-2,NAN
-1,0,0,-1,-1,0,-1,-2,NAN
2,-2,-1,2,-2,0,1,1,NAN
-2,-2,-3,3,1,-1,0,-5,NAN
-4,-1,0,-7,-6,-2,-4,-4,NAN
8,1,-2,1,-1,-3,-1,5,NAN
2,0,2,0,-2,0,-3,-2,NAN
-2,-4,-3,-6,0,0,-1,0,NAN
5,0,-2,2,3,0,7,2,NAN
-8,-1,1,-1,-3,-2,-14,-5,NAN
-3,-1,-4,2,1,-2,1,-8,NAN
3,3,2,-1,0,-1,-8,1,NAN
-3,-1,-1,-3,-3,-3,3,1,NAN
1,0,-1,-2,2,2,2,-2,NAN
1,0,1,-1,-3,-3,1,2,NAN
-3,-1,-1,-1,0,-2,-3,-5,NAN
2,0,0,-1,-2,1,-3,0,NAN
-1,-1,0,1,-4,-3,0,-3,NAN
0,-1,-4,9,6,2,-4,-1,NAN
2,0,9,-17,-4,1,5,4,NAN
-2,0,0,10,3,-2,-5,-2,NAN
-2,-1,-1,-1,-1,-3,1,-2,NAN
-3,0,-4,-4,0,-1,-3,-3,NAN
-3,-3,0,11,-2,-3,-1,-2,NAN
-1,-1,-1,2,4,2,1,-2,NAN
4,-1,-2,-4,-5,-5,-5,0,NAN
-1,0,-1,-1,-2,-1,2,2,NAN
-3,0,-2,1,-1,0,2,-3,NAN
3,-5,-2,-2,3,2,-14,-8,NAN
-5,-2,-3,5,0,1,4,-1,NAN
-1,-2,0,-3,-3,-2,-2,0,NAN
-3,-1,-4,-4,-4,-1,4,1,NAN
-3,-2,-2,-3,3,-1,-2,1,NAN
-1,1,0,-1,-6,-1,-1,-3,NAN
3,-3,2,-1,3,1,2,1,NAN
1,-2,-1,2,2,1,-1,0,NAN
2,0,-2,-7,-4,-3,0,1,NAN
-2,-1,-2,4,5,0,0,-3,NAN
-1,0,-2,5,-2,0,1,0,NAN
-1,-4,1,1,-3,-2,0,-2,NAN
0,-1,-4,-12,-2,-1,-2,-1,NAN
-9,-2,-4,11,3,-2,-1,-3,NAN
1,1,-5,-14,-7,-1,2,1,NAN
-3,0,8,-8,-3,0,-2,0,NAN
0,-1,-3,5,1,1,0,-2,NAN
-1,-3,-7,1,2,-1,-5,-3,NAN
-2,1,11,0,-1,0,2,-1,NAN
0,0,-4,-9,-4,-3,-5,2,NAN
-7,1,5,3,-1,0,3,-4,NAN
0,-1,1,-3,3,0,-1,-1,NAN
-1,-2,-3,4,-2,-1,1,1,NAN
0,-1,-2,-2,-3,-2,2,-4,NAN
0,-2,-1,-4,-3,-3,-5,2,NAN
-1,0,-1,4,2,1,1,-9,NAN
0,-2,-2,0,-2,-1,1,0,NAN
2,1,0,-6,-2,1,-1,1,NAN
-1,-4,-3,-3,-2,-3,-2,-1,NAN
-2,-1,-2,-3,3,-2,0,0,NAN
-1,-3,-1,5,-1,0,-4,-2,NAN
1,-2,-8,-21,-6,-3,-1,1,NAN
4,7,8,0,-2,0,0,0,NAN
-2,-3,-12,4,3,0,1,0,NAN
-2,-2,-7,-5,-2,-2,-2,-2,NAN
3,8,43,10,3,2,-2,2,NAN
-3,-6,-14,0,-2,-1,0,-1,NAN
1,-13,-36,-6,-4,-1,-1,6,NAN
-2,25,61,14,5,2,-2,-6,NAN
-1,-4,-28,-3,0,0,-1,-3,NAN
-2,-5,19,0,3,0,-1,2,NAN
6,1,-16,-4,-7,0,0,-7,NAN
-10,-5,6,-7,-1,-5,-10,-31,NAN
-3,0,-51,0,0,0,3,32,NAN
5,0,9,6,2,1,3,3,NAN
-2,-4,0,-4,3,-2,0,-1,NAN
4,-4,-4,-4,-2,-2,0,8,NAN
-10,-8,-4,-5,-2,-1,-3,-27,NAN
-2,-4,-25,-2,-2,-2,-3,-4,NAN
3,13,57,9,4,1,0,5,NAN
-5,-5,-19,-3,-3,-1,-2,-17,NAN
6,-1,9,-1,0,-1,-3,12,NAN
5,-1,-21,-6,-6,-2,1,10,NAN
-8,-7,-16,-3,-2,-3,-3,-11,NAN
3,9,44,6,1,1,0,6,NAN
-2,-7,5,-1,-2,0,-2,-6,NAN
-1,1,-18,-2,0,0,0,0,NAN
-3,1,-3,-3,-4,0,-4,-6,NAN
-2,-11,-37,-9,-3,0,0,6,NAN
-4,1,4,-4,-1,-1,-3,-4,NAN
-1,-5,-18,-6,-5,-2,-2,8,NAN
2,6,21,7,2,-1,0,-1,NAN
-5,-1,-1,2,5,2,3,-6,NAN
-4,-10,1,1,1,1,0,3,NAN
5,6,-9,-6,-4,-2,-2,4,NAN
0,-2,-2,-2,-2,-1,-2,-7,NAN
-3,-2,-4,-3,-1,-3,-1,-3,NAN
-2,-3,-8,-5,-1,-2,1,3,NAN
2,-2,-4,-1,-1,0,-2,0,NAN
0,-2,0,-1,-3,-2,-2,-3,NAN
-3,-1,-1,-1,-1,-2,-2,-4,NAN
1,-1,3,0,-3,-2,0,2,NAN
-1,-1,-4,0,3,-1,2,1,NAN
-1,0,-4,0,-2,-3,-4,-4,NAN
-2,-2,2,-4,-4,0,-3,-2,NAN
-2,4,-1,0,-4,-5,-7,-6,NAN
-4,-5,-8,1,-1,0,-6,1,NAN
2,-2,-2,-4,-2,0,3,3,NAN
0,-1,5,4,4,9,4,-1,NAN
-2,3,1,-4,-1,0,-2,-2,NAN
-1,-3,-7,-1,0,1,-3,2,NAN
1,-4,1,0,1,-3,-6,-6,NAN
2,4,2,2,-4,-3,0,3,NAN
-20,2,-2,-4,-1,0,9,3,NAN
-8,-6,-4,3,0,2,6,-3,NAN
7,1,2,3,2,1,4,0,NAN
-3,-3,-3,-7,-4,-4,-8,-6,NAN
-2,-3,-3,-3,-5,-4,-9,0,NAN
-1,0,-2,-4,-6,-6,1,2,NAN
-6,-3,-2,-4,-3,-1,-3,-3,NAN
0,-2,0,1,-2,-3,1,-8,NAN
12,2,2,4,4,2,1,7,NAN
-6,-2,-3,-3,0,0,-1,-10,NAN
3,0,-10,-1,2,0,2,7,NAN
1,0,3,-1,-1,0,-2,-11,NAN
6,-7,-5,-3,-4,-3,1,-5,NAN
2,-1,6,1,2,-1,-2,0,NAN
-8,3,27,2,-1,0,-2,-3,NAN
0,6,9,-3,-1,1,1,2,NAN
-5,-4,-5,2,1,0,0,-3,NAN
3,-6,1,-3,-4,-4,-3,1,NAN
-3,-5,-26,-6,-2,-3,-4,-5,NAN
1,5,39,8,4,-1,-1,-4,NAN
-1,-9,-25,-3,-3,-1,-1,8,NAN
0,5,13,0,3,-4,0,6,NAN
-2,-8,-13,-9,-6,-2,-3,-11,NAN
-11,-4,-13,0,1,1,-1,-6,NAN
7,-3,-25,-6,0,-1,4,11,NAN
0,1,0,1,-5,2,2,1,NAN
4,0,-2,0,0,0,-10,-11,NAN
-22,-21,-54,-10,-3,-3,4,-1,NAN
-4,-4,3,-4,-4,2,1,-9,NAN
-4,-5,-17,-4,1,4,-1,-13,NAN
9,-10,-26,-6,0,7,1,6,NAN
0,3,15,1,-2,-1,-5,-1,NAN
-4,5,-2,2,5,1,5,-3,NAN
1,-2,5,-2,-4,-1,-1,-3,NAN
-6,2,-6,-1,-1,3,1,-6,NAN
-3,-7,-5,-6,-4,-1,-2,-6,NAN
-1,-1,8,4,2,2,5,8,NAN
3,-3,-7,0,-1,-3,-3,7,NAN
-5,-2,6,-1,-1,-2,-2,4,NAN
7,-1,-36,0,0,-4,-3,5,NAN
-4,0,53,8,-2,2,1,-4,NAN
-5,0,5,-3,1,0,2,-16,NAN
6,8,-16,-3,-4,-5,-1,10,NAN
1,-7,-8,0,-1,-2,-1,0,NAN
0,8,39,1,0,3,1,-3,NAN
1,0,16,6,3,4,2,-4,NAN
-7,-8,7,1,-3,-4,-4,-9,NAN
10,4,-20,5,8,7,3,16,NAN
3,6,24,1,0,1,1,5,NAN
-5,-1,15,-3,-4,-2,-2,-3,NAN
-3,4,-21,3,2,1,0,-4,NAN
-4,-10,-8,-8,-3,0,-2,1,NAN
0,6,6,4,0,0,-1,-2,NAN
-1,3,3,-5,-3,-2,-2,-3,NAN
-3,-2,-8,-4,1,0,0,-2,NAN
3,-4,-22,-7,-6,0,1,13,NAN
-3,-3,-17,-1,0,1,-2,-3,NAN
0,6,27,6,0,-3,0,-2,NAN
-1,0,2,5,1,0,0,-7,NAN
9,-1,-64,-3,1,-1,1,12,NAN
-5,-3,6,-5,-1,-2,-1,-5,NAN
-5,-16,-32,-8,-3,-2,-3,-4,NAN
-5,2,43,2,-5,-5,-1,-6,NAN
3,6,2,5,5,0,-3,-4,NAN
1,5,21,-2,-4,0,1,2,NAN
-2,-6,-7,-4,0,-1,1,0,NAN
-3,-8,-14,-8,-3,-2,-2,2,NAN
-5,0,18,2,-1,1,1,-2,NAN
3,3,-7,-5,0,-1,-2,12,NAN
-3,8,20,6,2,1,1,1,NAN
-4,-5,-27,-7,-3,0,-3,-11,NAN
-4,-2,11,-9,-9,-5,-8,-11,NAN
-6,-8,-12,-1,-2,1,-1,-3,NAN
-1,-1,9,-3,-2,-4,-3,-2,NAN
4,-2,-31,0,3,-1,1,4,NAN
-12,-15,16,-3,-6,-3,-2,-20,NAN
6,1,-52,-13,-2,2,8,18,NAN
3,6,45,8,2,-2,-1,-13,NAN
4,-13,-53,-11,-4,-5,-5,21,NAN
-5,34,92,6,-3,-1,2,-10,NAN
1,-24,-92,-14,-6,-6,-4,-19,NAN
16,15,21,14,6,3,0,-3,NAN
0,-2,18,-6,-4,-1,-3,10,NAN
-13,-3,2,0,-2,16,11,-27,NAN
16,2,14,-3,3,-13,-8,32,NAN
-20,-8,-28,-6,-2,-11,-11,-22,NAN
-5,-6,-23,3,-4,3,4,-29,NAN
15,-10,-30,-9,-1,-4,-9,34,NAN
9,28,2,-4,-1,-4,-1,7,NAN
-3,-6,-1,1,-4,2,2,6,NAN
-35,-20,-13,-3,-5,0,-3,-31,NAN
31,18,12,-1,2,1,15,46,NAN
2,2,-7,-2,-1,39,-3,-15,NAN
-2,-7,-7,-1,-5,-33,14,-7,NAN
2,7,33,7,-1,-28,-22,15,NAN
-13,-14,-5,-2,-3,-36,-17,-9,NAN
-1,-20,-25,-17,-10,6,4,27,NAN
-7,3,71,11,1,-2,22,5,NAN
-2,9,-8,11,9,7,-13,7,NAN
9,15,46,1,1,6,-3,5,NAN
3,-2,-53,6,13,3,10,-1,NAN
-2,-1,19,-3,-1,5,-6,-24,NAN
4,3,8,0,0,1,9,-13,NAN
9,-7,-13,-6,-8,-9,-7,-1,NAN
-2,13,36,14,9,-1,0,18,NAN
-22,-29,-79,-15,-6,-2,-9,-12,NAN
2,25,78,17,5,-8,16,-1,NAN
1,-36,-128,-17,-2,28,2,-29,NAN
10,26,77,8,-3,-40,13,56,NAN
-32,-35,-46,-7,-5,-2,33,-4,NAN
10,11,10,4,2,10,-20,3,NAN
2,10,17,-1,1,4,-63,-4,NAN
-1,-10,-65,0,-1,7,20,-7,NAN
2,-7,-5,-5,-3,1,3,-3,NAN
-17,-6,21,0,-7,5,4,-19,NAN
22,37,82,13,-5,-15,18,28,NAN
-35,-32,-55,-17,-4,13,13,-79,NAN
-11,-8,-48,0,-2,-48,-17,63,NAN
31,11,44,0,-4,35,15,4,NAN
-13,-2,19,4,-6,-40,25,-18,NAN
58,12,-25,-7,2,-21,-26,59,NAN
-21,-9,24,4,14,104,68,-42,NAN
-24,3,-8,1,6,28,18,-3,NAN
57,2,-6,9,-4,-87,-96,31,NAN
13,32,70,8,10,36,7,2,NAN
1,-14,-24,-5,-7,-24,21,-13,NAN
-20,-1,-26,-7,-4,-17,3,13,NAN
10,-4,45,1,8,17,60,6,NAN
-2,7,20,4,0,-11,-24,-7,NAN
11,-4,-22,-11,-9,-4,-5,28,NAN
0,-37,-61,-10,-9,-12,4,-17,NAN
2,22,30,5,-1,7,113,20,NAN
6,-1,-27,-1,3,-32,-18,-27,NAN
-19,-6,-2,-1,-4,-3,-68,-40,NAN
-2,-2,10,-5,-11,-34,-71,17,NAN
10,-7,-20,-2,-9,16,47,24,NAN
-8,4,27,11,10,-13,-80,-65,NAN
-31,-15,-9,-16,-8,-38,-50,-48,NAN
-2,-13,-57,-7,-12,-7,36,42,NAN
4,-16,-43,-10,3,32,60,-19,NAN
-5,-22,-6,-7,-16,6,63,29,NAN
-4,-25,0,-9,-7,-47,-128,-84,NAN
28,78,-50,-7,23,10,74,29,NAN
-34,-33,42,7,3,37,106,52,NAN
3,31,24,10,1,-34,-20,-4,NAN
-4,-28,-104,-1,4,4,-22,42,NAN
-24,-5,10,-5,-12,-32,-78,-106,NAN
-17,-2,6,16,-8,-58,-70,-84,NAN
-23,-18,9,-55,-12,16,66,85,NAN
22,-10,7,20,23,78,20,-43,NAN
39,20,36,6,5,75,101,12,NAN
-1,24,-39,10,1,-66,-128,-50,NAN
-15,1,42,27,5,0,-39,-70,NAN
-31,-27,-3,-29,-22,-62,-12,14,NAN
-9,-24,-128,-31,-9,-19,66,32,NAN
0,36,127,4,-2,39,-34,1,NAN
-4,-23,-37,-2,-12,-5,46,-52,NAN
22,9,-9,-5,4,0,103,118,NAN
1,-22,-39,8,13,31,4,-7,NAN
-4,13,1,-7,-15,-18,-28,-24,NAN
-11,-10,-7,-7,-10,-18,-63,9,NAN
13,7,-3,4,14,62,91,-3,NAN
0,5,6,4,1,-5,-104,-38,NAN
-6,-1,-10,6,11,-66,55,23,NAN
-17,4,27,4,0,21,27,11,NAN
-16,-7,-18,-14,-4,11,51,10,NAN
7,3,62,40,62,109,62,27,NAN
-7,11,-69,-8,-74,-88,-22,-59,NAN
-18,-7,38,-34,-25,-81,-34,-37,NAN
-18,-9,-3,20,6,-24,-128,-75,NAN
1,0,6,8,11,23,-1,-29,NAN
15,-10,-14,10,49,55,57,117,NAN
1,-13,-5,-20,0,63,80,42,NAN
6,-1,9,17,3,-17,-78,-38,NAN
0,10,23,3,21,11,-1,8,NAN
-21,-14,-15,-5,-17,29,52,-25,NAN
13,2,-11,-13,-18,-118,-78,-4,NAN
-16,-16,-5,-20,-10,-7,27,77,NAN
-18,-5,-27,-4,-3,29,64,14,NAN
-2,5,41,4,-1,-73,-43,-5,NAN
8,2,-15,-9,3,-13,6,15,NAN
-14,-5,-9,16,-4,9,45,2,NAN
-9,-8,-31,-14,-6,85,-39,-38,NAN
37,20,8,-5,-2,-3,-13,32,NAN
-16,13,51,12,3,-54,22,0,NAN
-13,-17,-44,-19,-10,-11,87,2,NAN
28,1,17,19,24,-9,-128,8,NAN
-25,-16,-34,-9,-4,20,57,-51,NAN
-7,8,21,7,8,19,-123,-17,NAN
-3,5,5,-13,-42,-32,77,-34,NAN
16,-11,-1,-29,-39,-17,48,3,NAN
5,13,-4,-6,-5,-34,77,30,NAN
13,-23,-51,-18,-21,-40,107,67,NAN
13,8,38,32,45,0,-92,18,NAN
-34,12,-17,29,35,-21,-88,-61,NAN
25,-5,16,-8,-12,47,66,-77,NAN
22,-4,-60,0,-1,41,-26,56,NAN
16,-16,7,-14,-2,-6,-24,20,NAN
10,18,40,-8,-26,-56,-20,4,NAN
-10,3,2,-1,15,45,-53,36,NAN
-10,-3,7,4,-17,-78,-128,-128,NAN
-11,-15,-29,-9,-3,74,123,77,NAN
16,10,13,15,9,34,14,-9,NAN
-34,-17,-13,2,-1,-76,-100,-38,NAN
27,22,21,3,16,119,118,31,NAN
-42,-4,9,5,-3,-47,-128,-63,NAN
-1,-7,-3,-1,31,85,127,112,NAN
-29,-5,3,7,-25,17,-106,-118,NAN
4,2,7,-15,-61,-100,-5,17,NAN
3,-12,2,4,33,80,10,-49,NAN
-6,0,17,-6,-18,-22,84,70,NAN
-8,3,-18,6,8,-34,-69,-107,NAN
-4,-8,-46,1,19,-15,61,-16,NAN
-8,13,39,3,19,27,82,78,NAN
-37,-17,4,-13,-25,37,60,7,NAN
-3,-3,1,5,-11,13,91,-23,NAN
15,-1,-10,-16,-17,21,-88,18,NAN
-6,7,0,9,-8,-81,-43,47,NAN
-29,5,-13,8,15,-35,-128,-128,NAN
54,16,-20,-8,6,32,127,127,NAN
-1,5,19,29,35,40,75,1,NAN
-19,-9,-3,-11,-22,71,-25,-41,NAN
22,4,14,-2,-10,-27,-94,7,NAN
20,-2,-6,-1,25,48,73,32,NAN
-1,-1,-32,6,49,70,90,27,NAN
15,2,26,-1,-38,-75,29,11,NAN
-10,-7,-23,6,14,29,-53,28,NAN
14,4,3,-6,-8,-14,25,-11,NAN
-74,-17,-13,-23,-47,-35,-71,-51,NAN
45,-2,-9,7,36,83,-52,-6,NAN
-1,-7,-9,-6,-30,-7,-2,-48,NAN
-41,-4,-27,-1,-15,9,23,15,NAN
27,-7,-4,-10,-10,56,8,20,NAN
11,-4,-6,-4,0,-33,-19,-10,NAN
23,0,6,5,10,-6,48,3,NAN
1,12,11,8,18,9,46,102,NAN
8,-7,-7,1,10,-7,-37,-60,NAN
-44,-8,-7,-19,-31,-12,9,-47,NAN
38,-5,-18,-16,-39,-28,-8,87,NAN
-38,-2,10,-5,8,-9,11,-52,NAN
-5,8,12,5,6,-8,28,-16,NAN
-15,-22,-33,-11,-3,37,89,-24,NAN
53,26,42,14,12,8,-67,20,NAN
-13,-13,-13,-4,7,-17,-2,-21,NAN
-20,7,20,10,-19,-29,-89,-12,NAN
18,-11,-27,-5,16,-46,-64,-35,NAN
-43,-25,-29,-10,-8,6,-13,64,NAN
-14,0,0,-6,2,65,67,-21,NAN
-3,6,7,11,15,5,-81,-22,NAN
-21,-10,-19,2,11,-10,9,-20,NAN
23,-14,-14,3,35,24,-23,-7,NAN
0,12,4,-3,-28,-23,98,78,NAN
-34,-14,-16,6,20,34,-30,-40,NAN
21,8,22,8,-6,26,-18,-2,NAN
-19,3,15,-14,-19,-58,-4,11,NAN
8,-3,11,16,23,-23,-102,-42,NAN
2,20,36,5,1,4,32,-40,NAN
16,-3,-13,15,43,26,50,75,NAN
-26,-14,-23,-15,-60,-58,41,-28,NAN
29,10,18,4,10,-16,-33,45,NAN
1,4,5,-6,-2,2,99,-36,NAN
7,-9,4,8,11,11,53,14,NAN
-38,1,-8,9,12,-16,24,-21,NAN
-2,-2,4,-1,12,18,18,38,NAN
-9,-10,-12,-16,-17,-31,-96,-24,NAN
-16,11,19,4,7,50,54,-30,NAN
23,-11,-15,-17,-18,-13,-13,24,NAN
-14,1,1,6,12,14,91,40,NAN
-9,-6,2,1,-3,-4,-19,-48,NAN
-2,-13,-14,-16,-21,-15,-15,2,NAN
28,19,25,1,8,51,-31,-14,NAN
6,10,-8,-7,-21,-40,4,6,NAN
26,2,-10,10,28,11,6,68,NAN
36,24,14,8,18,72,41,38,NAN
-6,7,14,21,34,-23,-43,-67,NAN
-42,-21,-42,-42,-82,-3,-46,-40,NAN
3,4,12,-14,7,-65,-27,-24,NAN
31,9,3,-9,-39,-97,39,63,NAN
-40,-7,9,18,26,51,10,-1,NAN
-2,-2,-1,-6,-3,9,-98,-29,NAN
-13,14,17,-22,-34,-42,45,30,NAN
-1,0,-6,11,23,27,82,48,NAN
3,-22,-16,7,-10,21,4,-44,NAN
20,20,40,21,23,-9,-64,-24,NAN
-38,-13,-7,-3,-12,-16,-49,-15,NAN
21,-2,-9,-1,-1,-24,-70,-18,NAN
7,6,-6,-53,-41,14,97,47,NAN
-6,-28,-39,0,1,-27,10,-36,NAN
10,-1,-28,30,62,24,49,96,NAN
10,-10,-1,-15,-60,-21,-63,-44,NAN
6,-7,-19,-6,20,49,59,25,NAN
5,-2,13,-7,-6,-38,13,-50,NAN
-12,6,-8,12,13,31,91,18,NAN
8,-13,-15,-7,-3,-26,-101,-43,NAN
-11,-1,-7,10,12,-9,127,100,NAN
34,-1,-8,-7,-25,21,-121,-77,NAN
-24,2,9,-9,-4,-49,49,3,NAN
17,7,2,-3,8,84,79,-21,NAN
-5,13,24,16,15,35,-82,-83,NAN
-37,-19,-18,-17,-14,8,-42,-39,NAN
24,-8,-5,-6,-8,10,-74,-77,NAN
-24,8,-2,0,10,-98,98,97,NAN
21,-2,1,-5,-33,-14,-11,-36,NAN
4,-16,-33,2,15,32,-16,5,NAN
-22,23,25,-8,-24,0,-67,-16,NAN
-22,-7,-37,0,12,34,-19,-55,NAN
-13,-12,49,10,9,-17,-25,29,NAN
-1,4,-31,18,41,46,6,-11,NAN
-23,6,19,21,26,-13,41,-37,NAN
-9,2,15,-4,-15,63,-23,11,NAN
17,-3,-18,4,29,-29,12,34,NAN
-7,-12,-21,-28,-27,40,-17,-25,NAN
48,-1,-11,-7,-1,-17,37,22,NAN
-52,-11,5,1,-2,-29,101,8,NAN
34,2,-11,-1,-8,-2,27,-12,NAN
-9,-11,-5,-13,-32,-30,-74,-1,NAN
8,36,21,23,31,90,66,39,NAN
-11,-10,-8,8,8,-52,45,-41,NAN
-15,-9,-13,-12,-22,-8,-70,-36,NAN
17,15,19,-16,-19,12,24,83,NAN
5,7,-20,8,31,-4,-81,-62,NAN
18,7,29,8,20,26,53,42,NAN
-36,-21,-19,-7,-12,-50,-28,-25,NAN
-7,-4,-11,-5,0,-2,-14,-3,NAN
-3,4,17,-18,-31,13,-8,-8,NAN
35,4,9,10,5,-9,46,6,NAN
-8,1,-11,13,31,31,-103,-7,NAN
-7,2,15,-17,-40,-55,39,-33,NAN
-5,0,11,1,-3,-17,-72,-45,NAN
26,5,-1,6,12,-41,42,10,NAN
-26,-14,-14,-3,-4,46,-11,-31,NAN
10,19,36,8,9,17,52,3,NAN
18,-5,-17,4,8,-3,99,58,NAN
-10,5,2,4,10,77,-8,9,NAN
-8,-6,-5,-12,-21,-33,-96,17,NAN
-2,-2,21,9,-8,-19,-40,19,NAN
-4,0,10,3,-12,2,37,4,NAN
-12,-11,-8,-9,9,11,-5,-11,NAN
-12,1,0,-1,-12,-44,18,27,NAN
-4,4,-24,-1,13,21,-6,11,NAN
-4,-8,11,-2,-28,-69,26,62,NAN
-3,-8,-14,10,27,0,-22,-22,NAN
19,1,6,9,13,81,55,-14,NAN
-10,-5,-22,-9,-36,-56,39,5,NAN
3,-4,-13,1,14,-23,-56,-59,NAN
-15,2,-16,-18,-26,-32,34,48,NAN
37,-11,-40,-19,-6,79,21,-63,NAN
-9,29,44,17,-1,-40,42,46,NAN
