C1,C2,C3,C4,C5,C6,C7,C8,Marker
0,0,1,-1,0,1,1,-6,NAN
-1,-2,0,3,1,1,-2,8,NAN
-1,-1,-2,-2,1,2,-1,-3,NAN
-1,-1,0,-2,-2,-3,-2,-1,NAN
0,-2,-1,-3,-2,2,-3,-5,NAN
-2,0,-2,0,4,0,3,-2,NAN
0,-2,-1,-1,-7,-3,0,4,NAN
-1,-2,0,1,-1,1,-1,0,NAN
-1,-1,0,-1,-1,-3,-2,2,NAN
0,-1,1,0,-2,-3,-1,0,NAN
0,-1,-4,-4,-4,-10,-1,6,NAN
-2,-4,-1,-2,-2,7,-1,0,NAN
-2,-1,-2,-3,0,-4,-1,-4,NAN
0,-2,1,4,0,-1,1,0,NAN
-2,2,2,2,1,-1,-1,-6,NAN
0,-2,-8,-7,-7,-8,-3,5,NAN
-1,-1,1,-4,-1,1,-1,-5,NAN
0,0,0,-1,-1,0,-3,-2,NAN
-1,-1,4,2,-2,1,1,1,NAN
-4,-1,-1,-2,4,0,-2,-4,NAN
1,-1,-4,-5,-6,-3,-1,1,NAN
-1,-2,-2,-3,0,-1,2,2,NAN
-1,1,-3,-7,-5,-2,-3,-4,NAN
-2,0,-1,3,5,1,-2,-1,NAN
-1,-3,-3,-4,-5,0,-1,-2,NAN
0,-1,0,0,-4,-2,-1,2,NAN
-1,-2,-3,-1,1,-1,0,0,NAN
0,-1,0,2,2,1,-1,0,NAN
-2,-1,-2,-2,-2,-3,-4,-1,NAN
-2,0,0,-1,-2,1,-1,-2,NAN
0,-2,-4,-3,-4,-3,1,3,NAN
-3,0,1,3,0,2,0,-9,NAN
1,1,-2,-4,-1,-1,3,27,NAN
-2,-3,0,-1,-2,-3,-3,-5,NAN
0,0,-3,1,5,-3,-3,0,NAN
0,1,0,-2,-9,-4,1,-5,NAN
-2,-1,2,4,0,5,1,-1,NAN
-1,0,-3,-7,0,-10,-2,0,NAN
-2,-2,1,3,-3,6,-1,1,NAN
0,-1,-1,-1,2,-3,-1,-2,NAN
-1,-2,-1,0,0,-2,-2,-7,NAN
0,-1,3,7,2,1,0,2,NAN
-2,-2,-2,-5,-4,-5,-4,-5,NAN
-1,-1,-1,-1,2,4,1,0,NAN
-1,-1,0,-3,-6,-1,-1,-5,NAN
-3,-1,-5,-4,1,2,0,-2,NAN
1,-1,-1,-1,2,-3,-1,-5,NAN
1,0,-1,0,3,2,-1,-3,NAN
-1,0,-1,1,-1,-1,-3,-1,NAN
0,-1,-3,-2,-2,-4,-3,-6,NAN
0,0,-4,-3,3,3,3,4,NAN
1,0,0,-2,-3,-2,-1,-7,NAN
0,0,2,1,9,2,-1,-4,NAN
0,-1,-1,-1,-7,-3,0,1,NAN
-2,0,-2,-1,-4,-2,-1,-2,NAN
-2,0,3,1,2,1,2,3,NAN
-2,0,5,4,3,5,1,-4,NAN
0,-2,-1,-3,-1,-3,-1,2,NAN
-1,-1,-2,-1,-7,-5,-1,-2,NAN
-1,0,-3,-1,2,5,-1,-4,NAN
-2,-2,-1,-2,-3,-4,-3,2,NAN
0,-1,-2,-2,-2,-2,-2,-5,NAN
-2,-1,1,1,0,1,-1,13,NAN
-1,-2,-1,-2,0,-4,0,-1,NAN
-3,-2,-5,-6,-4,-3,-2,-10,NAN
-1,-2,-1,-1,-7,-9,-3,-1,NAN
1,0,1,3,1,6,3,3,NAN
-2,0,3,-1,0,-2,0,-2,NAN
-1,-2,-3,-1,2,1,-1,-4,NAN
-1,-1,-2,-1,-2,1,0,0,NAN
0,1,1,-1,0,-2,0,-2,NAN
1,0,0,1,0,2,0,3,NAN
-1,0,-1,2,1,0,-1,-2,NAN
-2,0,0,0,-3,-1,0,-2,NAN
0,-2,-1,-2,-5,3,0,-1,NAN
-1,-1,1,-4,1,0,-1,-5,NAN
-1,0,2,2,1,5,1,-3,NAN
-1,1,0,2,-2,-5,-2,2,NAN
-2,-3,-2,-5,-5,-8,-2,-4,NAN
-1,-2,-2,-2,0,2,0,1,NAN
-1,-1,-2,-2,1,-2,-3,-1,NAN
-2,0,1,1,-2,0,0,2,NAN
0,0,1,2,2,3,1,-1,NAN
0,-1,0,0,1,0,0,1,NAN
-2,-1,-6,-8,-2,-1,-3,0,NAN
-2,0,-1,2,-3,0,0,-5,NAN
0,-1,-2,-5,1,-4,-2,1,NAN
-1,-1,-1,2,0,3,-1,1,NAN
-2,-1,0,1,1,-2,1,-11,NAN
0,-1,-1,-1,0,-4,2,14,NAN
-1,-2,0,-2,-1,2,-1,-5,NAN
-1,-2,-2,-1,-2,-2,-2,-2,NAN
1,0,0,-1,0,-1,-1,1,NAN
-1,-3,-3,-2,1,0,-2,-5,NAN
-3,-1,0,2,-2,-1,-1,-4,NAN
0,1,-3,-1,-3,-1,-1,0,NAN
0,-2,-1,1,0,-1,1,1,NAN
0,1,7,10,5,8,1,-1,NAN
-1,-2,-9,-11,-5,-9,-5,2,NAN
-1,-3,-4,-7,-3,-1,-3,-3,NAN
-2,0,-1,-2,-3,-4,-4,-3,NAN
0,0,0,0,-3,1,0,0,NAN
0,1,6,10,6,5,3,2,NAN
0,0,1,0,1,0,0,-1,NAN
0,-1,1,-1,0,0,-1,-5,NAN
-3,-2,-4,-3,-5,-4,-5,3,NAN
-1,-2,2,1,-1,3,2,0,NAN
-3,-1,-5,-8,-7,-5,-3,-3,NAN
-2,0,0,5,6,3,-2,-6,NAN
-2,-1,-1,-3,-6,-1,1,-4,NAN
0,0,-2,-1,-7,-3,-1,2,NAN
0,1,1,0,3,3,-2,-2,NAN
-2,-2,-1,0,-4,-2,2,1,NAN
-1,0,-1,-1,5,0,-1,-3,NAN
-2,-2,-4,0,1,0,-1,-9,NAN
1,0,1,0,0,-1,0,10,NAN
-1,-1,1,-1,0,-1,-2,-2,NAN
-1,-1,-2,-2,-1,2,1,-2,NAN
-2,-2,-2,-2,-1,-3,-3,-6,NAN
-2,-3,-3,-2,-4,-1,-1,-6,NAN
0,0,-1,-3,-3,-2,-2,2,NAN
0,0,2,2,-1,-1,1,-1,NAN
-1,-3,-2,-3,2,0,-1,0,NAN
-3,-1,-1,1,-2,-2,-2,-2,NAN
0,-1,-3,-2,1,0,-1,0,NAN
-2,-2,-1,-3,1,-1,-3,0,NAN
-2,-2,2,1,-1,-2,0,-3,NAN
1,-1,1,1,4,5,0,-3,NAN
1,1,0,-5,-9,1,1,3,NAN
-1,-1,0,2,0,-6,-2,2,NAN
-1,-3,-2,-2,-3,-1,0,-1,NAN
-2,-2,-2,-7,-7,-4,-1,-2,NAN
-1,1,1,0,5,1,0,2,NAN
-1,-1,-2,2,-3,-5,-1,3,NAN
-1,-2,-2,-4,-2,-1,-1,-3,NAN
1,-1,0,-1,1,-1,-1,-1,NAN
-1,0,-1,-1,-3,-2,0,0,NAN
1,-2,0,0,2,1,1,4,NAN
-3,0,-4,-4,-4,-3,-1,0,NAN
-2,0,-2,1,1,2,1,-4,NAN
-3,-2,-2,-2,-5,-5,-5,-2,NAN
0,-2,0,0,-1,1,-3,3,NAN
0,-1,-1,-1,0,-1,-1,-2,NAN
-2,-2,-2,0,-6,-3,-1,-5,NAN
0,-2,0,-4,-3,0,-1,-2,NAN
-1,0,0,0,9,1,0,-3,NAN
-1,-3,-1,-1,-8,-1,0,3,NAN
-2,0,0,0,7,-3,-1,-6,NAN
-1,-1,-4,-1,-7,1,0,1,NAN
-2,-1,0,-2,2,1,-3,0,NAN
0,-1,-2,2,2,0,-1,-4,NAN
-2,-1,-2,-2,-4,-4,0,4,NAN
-3,-1,0,3,1,1,0,-4,NAN
-1,-1,-4,-4,-6,-1,-2,-6,NAN
2,2,0,0,2,-1,2,14,NAN
0,-1,0,0,-2,0,0,-7,NAN
1,-2,-1,-1,0,-5,-1,0,NAN
-2,-1,0,-3,-5,0,-2,-3,NAN
-1,0,1,0,1,2,1,-4,NAN
-2,0,-2,-1,4,0,-1,-2,NAN
-1,-1,-4,-4,-5,-2,-1,2,NAN
0,-3,-1,0,2,-1,-1,3,NAN
-1,-1,0,-1,-7,-4,-1,-2,NAN
-3,0,2,5,4,5,-1,-1,NAN
-2,-3,-3,-3,4,-2,-4,-3,NAN
-2,0,1,-2,-3,-2,-1,3,NAN
-2,-1,1,3,4,3,1,-1,NAN
2,0,2,2,0,-3,0,2,NAN
-1,0,1,3,5,2,-1,-9,NAN
1,-1,0,-3,-1,-1,-2,14,NAN
-1,-2,-2,-3,-2,-7,-2,-4,NAN
-1,-2,0,0,1,2,0,0,NAN
-3,-2,-2,-5,-7,-3,0,-3,NAN
-2,-3,-1,-1,0,-1,-1,-6,NAN
-1,0,-1,-1,1,0,-2,-3,NAN
-1,0,-1,-1,-4,-3,-1,-3,NAN
-4,-2,-1,0,0,-1,0,-1,NAN
0,-2,1,-1,0,-1,-1,-4,NAN
0,0,2,-3,-1,-1,-1,2,NAN
-2,-1,-3,3,0,-3,0,-2,NAN
-2,-2,-3,-3,-5,7,-2,-8,NAN
1,0,2,5,0,-1,1,20,NAN
-1,-4,-3,-6,-7,-3,-1,-2,NAN
-1,-2,-4,-10,-10,-9,-3,-6,NAN
-2,-1,0,2,4,2,2,5,NAN
0,0,0,0,2,0,-3,-3,NAN
-2,1,-1,-3,0,-1,0,1,NAN
0,-1,-4,-5,-7,-1,-3,-3,NAN
-2,0,-1,0,0,-2,-1,-1,NAN
-1,-1,0,-2,-1,0,-2,-4,NAN
-1,-2,-1,0,-3,-1,0,-6,NAN
1,-1,2,0,-5,-3,1,0,NAN
-2,-2,-2,1,0,5,0,-1,NAN
-2,-4,0,-3,-1,2,-1,-9,NAN
-2,-2,-1,-1,0,0,2,3,NAN
-1,2,2,1,-1,2,-2,-1,NAN
-1,0,3,7,1,3,-1,-1,NAN
-1,-5,-8,-8,-5,-9,-5,1,NAN
1,0,0,-2,-2,1,-2,0,NAN
-3,-2,-2,-1,0,-2,-1,-4,NAN
-2,-1,2,0,-1,-1,-3,-5,NAN
1,3,2,3,1,3,1,-3,NAN
1,-1,-3,-5,-4,-5,-1,5,NAN
0,-1,-3,-3,-2,-2,0,-2,NAN
-1,-1,-3,-2,-2,-6,-3,-1,NAN
3,2,0,3,2,5,-1,0,NAN
-3,-3,-1,0,4,-2,-1,1,NAN
2,1,2,2,-1,-2,5,-10,NAN
-3,-4,-4,-7,1,-4,-3,0,NAN
1,-1,-2,0,0,-1,1,1,NAN
-1,-3,-2,-3,-1,-4,-2,2,NAN
-3,-1,0,-2,2,2,1,4,NAN
-1,3,2,-1,-8,2,0,-7,NAN
-3,-3,-9,-6,-1,-4,-4,2,NAN
2,2,2,-1,-4,-1,0,-4,NAN
-3,-5,-3,-1,-2,-2,-3,1,NAN
-1,0,-1,3,3,-1,1,4,NAN
-2,0,3,1,-1,6,-1,-5,NAN
0,0,0,-2,-3,1,0,4,NAN
-3,-4,-2,-2,-4,-4,-1,-3,NAN
-1,-1,-1,-2,-1,-3,-2,0,NAN
-2,0,-2,-1,-2,0,-2,0,NAN
1,0,0,-3,-2,-5,-2,-7,NAN
-3,-3,-2,0,1,2,1,5,NAN
-2,-1,1,1,0,2,-1,-6,NAN
2,2,-1,1,-3,-1,-1,6,NAN
-2,-3,-1,1,6,3,-2,-2,NAN
0,1,-1,-5,-10,-6,-3,-1,NAN
0,-1,-3,-2,8,1,0,0,NAN
-2,-2,-2,-9,-14,-4,-4,-7,NAN
1,3,-4,-2,-3,-6,-4,3,NAN
1,1,3,4,5,2,1,2,NAN
-2,0,2,0,-1,3,0,-1,NAN
-1,-1,-3,-3,-1,-6,-2,2,NAN
-3,-1,-1,-3,-4,4,-1,-1,NAN
-3,0,-1,-2,-1,-5,-2,1,NAN
0,-6,0,-4,-2,0,2,-7,NAN
2,2,3,1,2,-2,0,8,NAN
0,0,-1,-2,-5,-3,-1,0,NAN
-1,-2,-1,1,10,4,2,-1,NAN
-4,-1,-5,-3,-10,-5,-6,-4,NAN
-2,-2,-3,0,9,0,-2,-4,NAN
1,-1,0,2,3,3,0,1,NAN
-2,0,-3,-4,0,-5,-3,5,NAN
0,-1,-2,0,-1,-3,2,-2,NAN
-1,1,-2,-1,-7,-2,-4,-5,NAN
-1,-6,1,-2,-1,0,0,-4,NAN
-1,-3,0,2,-1,0,1,18,NAN
0,-2,-3,-4,1,3,-4,-6,NAN
-1,1,-1,-2,0,1,2,4,NAN
0,0,-1,2,-1,0,0,-2,NAN
0,-1,2,1,4,0,0,-8,NAN
-2,0,-2,-5,-9,-3,-2,2,NAN
-1,2,2,-1,-4,0,-1,-6,NAN
-2,-1,-2,-2,1,-2,0,3,NAN
-1,-1,-1,2,-3,3,-2,-4,NAN
-1,-6,2,2,8,2,-1,-9,NAN
-1,2,-5,-7,-8,-10,-3,19,NAN
1,1,-3,2,3,3,0,3,NAN
-1,-2,2,1,1,1,-3,-13,NAN
-2,0,2,1,1,-1,-1,2,NAN
0,0,1,1,-2,-1,-1,2,NAN
-3,1,-1,-6,-3,-1,-2,1,NAN
0,-1,-1,2,1,-1,0,-9,NAN
-2,-2,-2,-3,1,-2,-2,2,NAN
0,-1,1,2,0,0,1,-2,NAN
1,2,-2,-2,6,-4,-3,-11,NAN
0,-2,-4,0,-4,0,-1,2,NAN
-3,-1,-6,-8,-2,2,0,-2,NAN
-1,-5,1,2,2,1,-1,-3,NAN
1,0,1,0,-4,2,2,-4,NAN
-1,-5,-4,-6,-6,-4,1,0,NAN
0,2,0,-1,-4,-2,0,6,NAN
0,2,0,-2,-2,-1,0,-6,NAN
0,-1,0,1,-1,0,0,4,NAN
-1,-1,1,-3,0,1,0,-3,NAN
0,0,2,-1,-3,1,0,1,NAN
-2,-3,-4,-4,-3,-2,-1,-3,NAN
0,-2,-2,-1,-9,-8,0,6,NAN
-4,-2,0,1,7,6,-1,-14,NAN
-1,2,-2,2,-2,0,0,0,NAN
-2,-2,-6,-9,-3,-5,-5,-5,NAN
-1,1,2,1,1,4,-1,3,NAN
-1,-1,-1,-2,-5,-13,-1,-1,NAN
0,0,1,-2,1,4,-1,-4,NAN
-1,0,1,4,1,4,1,3,NAN
0,0,1,1,0,-2,-2,-1,NAN
-2,-1,-2,0,0,3,-1,-2,NAN
0,-2,-1,-1,-2,3,-1,-1,NAN
0,1,-1,-2,1,-1,-3,-7,NAN
1,1,0,-2,2,-2,-2,3,NAN
-1,0,-2,-2,-4,0,-2,-3,NAN
-2,-1,1,0,-2,-4,-2,-4,NAN
1,-3,-2,0,-3,3,0,5,NAN
-1,-1,-2,-3,0,-4,-1,-2,NAN
-1,-1,-1,0,-2,4,1,-3,NAN
-1,-1,-2,-1,8,0,-4,4,NAN
-2,1,0,-2,-11,-3,2,4,NAN
-1,-2,-1,-5,2,0,-3,2,NAN
0,-3,-1,0,-1,-2,-3,-1,NAN
-1,0,-1,-1,1,-1,-1,0,NAN
0,0,2,-3,-2,1,-1,-2,NAN
-3,-3,-2,-2,0,-4,-3,-7,NAN
