Timestamp, Rotation x, Rotation y, Rotation z, Marker
5720,-43.875,-103.25,-34.625,0
5740,-39.375,-102.75,-34.375,0
5760,-31.625,-101.5,-34.75,0
5780,-26.375,-97.875,-35.3125,0
5800,-22.1875,-92.9375,-35.3125,0
5820,-23.6875,-86.9375,-33.1875,0
5840,-28.125,-81.25,-33.125,0
5860,-27.3125,-76.875,-36.4375,0
5880,-33.1875,-71.6875,-34.375,0
5900,-33.125,-59.8125,-26.1875,0
5930,-32.875,-38.1875,-14.375,0
5950,-39.3125,-21.6875,-3.75,0
5970,-38.75,6.125,54.625,0
5990,-44.375,8.5,60.1875,0
6010,-52.625,10.625,53.5,0
6030,-43,11.375,45.4375,0
6050,-28.125,7,32.875,0
6070,-17.625,2.375,18.625,0
6090,-7.375,-1.0625,5.75,0
6110,4.25,-3.6875,-6.375,0
6130,10.75,-4.9375,-18.75,0
6150,11.6875,-6.375,-27.125,0
6170,14.9375,-7.9375,-34.625,0
6190,17.375,-7.125,-41.9375,0
6210,15.5625,-7.9375,-44.5625,0
6230,10.9375,-8.625,-45.5625,0
6250,9.3125,-6.625,-48,0
6270,14.375,-3.6875,-51,0
6290,20.375,-2.25,-51.3125,0
6310,20.875,-0.125,-49.125,0
6330,18.75,3.375,-47.5625,0
6350,14,6.4375,-43.5625,0
6370,11.875,9.0625,-39.9375,0
6390,9.0625,12.3125,-37.9375,0
6410,9.75,17.1875,-35.0625,0
6430,10.3125,20.625,-34.25,0
6450,11.0625,23.5,-29.5,0
6470,11.1875,25.3125,-23.625,0
6490,9.8125,25.9375,-20.0625,0
6510,7,26,-16.3125,0
6530,1.875,25.6875,-13.9375,0
6550,-1.9375,27.25,-10.5,0
6570,-0.5,29.1875,-7.4375,0
6590,2.0625,29.6875,-4.3125,0
6610,4.8125,29.75,1.3125,0
6630,1.5,30.3125,5.3125,0
6650,-0.4375,31.375,5.8125,0
6670,0.8125,32.0625,6.375,0
6690,8.0625,29.25,8.3125,0
6710,9.375,26.75,10.3125,0
6730,7.5625,24,15,0
6750,8.4375,17.5625,18.25,0
6770,5.75,11.6875,17.4375,0
6790,7,7.5625,16.25,0
6810,8.9375,0.6875,16.125,0
6830,7,-2.75,19.875,0
6850,0.375,-3,23.25,0
6870,-4.875,-3.875,18.875,0
6890,-6.625,-5,12.3125,0
6900,-4.875,-4.75,7.875,0
6920,-2.3125,-0.5625,3.6875,0
6940,-0.3125,3.875,3.875,0
6960,-3.625,5.75,4.125,0
6980,-7.3125,6.75,2.5,0
7000,-13.125,6.75,2.25,0
7020,-14.375,5.125,9,0
7040,-17.8125,4.4375,13.125,0
7060,-20,5.625,12.4375,0
7080,-19.8125,8.625,11,0
7100,-17.6875,14.4375,4.5625,0
7120,-17.4375,17,-4.375,0
7140,-17.1875,19.375,-11.875,0
7160,-12.75,24.75,-16.4375,0
7180,-0.3125,25,-22.1875,0
7200,6.8125,24,-27.1875,0
7220,17.375,24.3125,-34.0625,0
7240,24.625,22,-39.3125,0
7260,23.125,18.0625,-39.9375,0
7280,14.625,12.6875,-38.5,0
7300,14.8125,10.125,-33.25,0
7320,13.9375,7.4375,-30.3125,0
7340,15.125,5.1875,-30.625,0
7360,16.4375,3,-27,0
7380,15.25,0.3125,-21.125,0
7400,11.625,1.0625,-16.75,0
7420,9.8125,0.8125,-8.5,0
7440,3.5625,-0.125,0.25,0
7460,3.6875,-0.25,2.625,0
7480,2.5,4.625,3.5625,0
7500,2.875,9.8125,7,0
7520,6.0625,13.375,7.6875,0
7540,8.5625,13.6875,4.5,0
7560,9.8125,9.9375,5.3125,0
7580,3.875,-0.375,11.125,0
7600,-3.4375,-2.3125,21.125,0
7620,-3.5625,0.0625,28.5,0
7640,-3.3125,0.875,26.625,0
7660,-1,7.0625,23.4375,0
7680,0.5,12.1875,21.875,0
7700,-2.5,18.125,16.875,0
7720,-3.875,16.4375,4.4375,0
7740,-0.875,6.5625,-3.9375,0
7760,10.875,0,-11.25,0
7780,27,-1.4375,-17.5,0
7800,40.875,0.875,-21.6875,0
7820,48.625,6.625,-25.25,0
7840,48.1875,11.1875,-29.125,0
7860,38.1875,18.0625,-30.0625,0
7880,25.6875,28.25,-24.625,0
7900,0.1875,31.8125,-12.4375,0
7920,-9.5625,23.125,-1.875,0
7940,-18.1875,17.6875,-6,0
7960,-14.5,14.5625,-3.5,0
7980,-15.8125,10.125,5,0
8000,-7.9375,7.375,13.8125,0
8020,-7.75,8.625,26.0625,0
8040,-18,8,27.375,0
8060,-17.125,6.5,20.0625,0
8080,-5.625,2.875,10.375,0
8100,7.125,0.625,0.0625,0
8120,18.5625,-0.1875,-9.9375,0
8140,30.1875,-0.375,-17.3125,0
8160,42.875,-1.375,-23.3125,0
8180,47.25,-2.8125,-28.5625,0
8200,54.25,-0.8125,-33.5,0
8220,40.5625,9.9375,-35.25,0
8240,17.4375,17,-26,0
8260,-16.6875,14.875,-9.1875,0
8280,-40.5625,7.25,3.125,0
8300,-35.875,7.875,7.25,0
8320,-37,4.625,25.75,0
8340,-51.5,1.875,47.375,0
8360,-65.5,-3,54.375,0
8380,-61.625,-7.0625,35.625,0
8400,-38.375,-11.625,18.5625,0
8420,-9.3125,-15.3125,13.0625,0
8440,3.125,-20.5,3.25,0
8460,3.3125,-25.5,-2.3125,0
8480,1.25,-28.4375,-6.6875,0
8500,10.4375,-27.5,-16.4375,0
8520,27.8125,-24.375,-26.9375,0
8540,44.9375,-18.8125,-36.8125,0
8560,53.75,-11.875,-43.4375,0
8580,51.25,-3.0625,-44.8125,0
8600,33.9375,5.75,-38.0625,0
8620,13.9375,16.75,-30.4375,0
8640,-6.5,26.5625,-22.0625,0
8660,-19.125,27.75,-21.6875,0
8680,-12.125,20.5625,-29.9375,0
8700,-14.1875,14.875,-28.25,0
8720,-24.625,14.1875,-17.4375,0
8740,-20.3125,10.8125,0.875,0
8760,-26.125,9.625,29.625,0
8780,-39.875,3.6875,50.3125,0
8800,-55,-0.625,54.5,0
8820,-50.3125,-9.125,53.375,0
8840,-45.625,-18.9375,55.6875,0
8860,-33.5625,-28.25,54.125,0
8880,-20.375,-37.375,40.5625,0
8900,-5.8125,-43.9375,25.625,0
8920,1.9375,-53.9375,11.5,0
8940,4.625,-62.875,0.5,0
8960,7.375,-68.9375,-12.6875,0
8980,14.75,-75.6875,-29.5625,0
9000,18.625,-80.3125,-41.1875,0
9020,18.6875,-81,-49.1875,0
9040,14.6875,-77.9375,-62.5,0
9060,12.9375,-72.5625,-79.1875,0
9070,9.6875,-66.1875,-87.1875,0
9070,11.875,-61.4375,-90.75,0
9090,11.75,-58.0625,-95.125,0
9110,3.8125,-48.3125,-95,0
9160,2.625,-46.75,-91,0
9180,-6.8125,-33.1875,-82.8125,0
9200,-11.8125,-8.0625,-73.875,0
9220,-8.8125,4.9375,-68.4375,0
9240,-10,17.625,-62.6875,0
9260,-16.625,27.625,-52.4375,0
9280,-17.875,38.625,-42.6875,0
9300,-16.3125,53.9375,-37,0
9320,-11.875,68.625,-31.9375,0
9340,-13.125,78,-25.5,0
9360,-9.875,84,-17.6875,0
9380,-10.625,92.375,-8.0625,0
9400,-16.1875,97.3125,5.3125,0
9420,-19.6875,96.6875,19.3125,0
9440,-19.375,95,33.9375,0
9460,-26.375,93.625,42,0
9470,-30.3125,88.625,46.0625,0
9490,-27.6875,81.5625,54.3125,0
9510,-23.875,70.5,70,0
9530,-35.3125,58.9375,84.3125,0
9550,-46.625,45.6875,104.125,0
9570,-61.125,24.9375,125.062,0
9590,-64.1875,7.9375,135.5,0
9610,-62.5625,-6.5,119.375,0
9630,-55.8125,-19.3125,100.75,0
9650,-40.75,-32.9375,98.3125,0
9670,-32,-45.875,99.875,0
9690,-35,-60.1875,79.75,0
9710,-35.3125,-70.9375,59,0
9730,-32.6875,-84.1875,47.625,0
9750,-29.6875,-99.625,35.0625,0
9770,-21.625,-110.438,19.125,0
9790,-13.3125,-121.125,1.4375,0
9810,-8.6875,-127.312,-12.4375,0
9830,-9.125,-130.438,-23.3125,0
9850,-18.375,-134.312,-39.0625,0
9870,-25.75,-132.312,-51.8125,0
9890,-33.875,-129.25,-59.1875,0
9910,-40.25,-124.75,-66.8125,0
9930,-43,-115.625,-76.25,0
9950,-39.125,-105.812,-85.6875,0
9970,-37.25,-95.8125,-88.1875,0
9990,-39.875,-87.5,-87,0
10010,-41.875,-76.875,-88.875,0
10030,-41.1875,-63.4375,-91.3125,0
10050,-39.1875,-49.3125,-91.3125,0
10070,-36.875,-35.375,-89.375,0
10090,-32.8125,-19.5,-86.75,0
10110,-29,-4.8125,-81.625,0
10130,-27.4375,7.75,-73.6875,0
10150,-24.5,19.6875,-66.8125,0
10170,-13.125,31.375,-63.8125,0
10190,-4.5625,42.5625,-60.6875,0
10210,3.625,52.0625,-59,0
10230,11.1875,60.9375,-57.8125,0
10250,15.375,71.375,-54.1875,0
10270,12.75,80.125,-45.6875,0
10290,8.5625,87.5625,-34.75,0
10310,2.8125,95.4375,-21.9375,0
10330,3.875,96.3125,-11.5,0
10350,9.125,95.1875,-5.125,0
10370,6.9375,99.75,0.125,0
10390,1.9375,100.625,9.75,0
10410,-2.875,100.625,19.6875,0
10430,-7.125,100.625,32.625,0
10450,-17.25,100.125,51.8125,0
10470,-29.0625,94.8125,67.3125,0
10490,-25.625,87.0625,76.8125,0
10510,-14.8125,77.875,77.125,0
10530,-11.625,74,77.25,0
10550,-6.875,69.125,91.5625,0
10570,-10.3125,59.1875,104.938,0
10590,-17.4375,50.3125,107.875,0
10610,-25.9375,42.375,111.25,0
10630,-28,28.5625,109.938,0
10650,-24.25,16.875,98.875,0
10670,-15.375,7.9375,97.75,0
10690,-11.5,-3.25,98.625,0
10710,-10.375,-14.375,84.0625,0
10730,-6.75,-25,72.625,0
10750,-8.25,-36.625,70.6875,0
10770,-10.3125,-46,73.125,0
10790,-8.875,-54.125,63.3125,0
10810,-7.875,-59.375,48.1875,0
10830,-7.8125,-61.5,43.25,0
10850,-6.25,-64.4375,38.5625,0
10870,-1.9375,-63.0625,26.8125,0
10890,-0.8125,-58.9375,19.1875,0
10910,-5.5,-56.9375,16.1875,0
10930,-7.875,-56.9375,10,0
10950,-8.125,-58.625,2.375,0
10970,-11.75,-55.6875,-2.25,0
10990,-8,-52,-3.875,0
11010,-7.25,-53.125,-5.4375,0
11030,-9.9375,-53.625,-7.8125,0
11050,-12.625,-51.6875,-9.125,0
11070,-11.5,-45.1875,-9.6875,0
11090,-11.1875,-39.9375,-11.375,0
11110,-10.5625,-36.5,-11.4375,0
11130,-11.625,-32,-10.625,0
11150,-11.3125,-26.0625,-9.9375,0
11170,-9.875,-17.9375,-13.125,0
11190,-3.375,-11.375,-13.1875,0
11210,2.9375,-11.8125,-10.5,0
11230,4.9375,-8.9375,-9.875,0
11250,5.25,-4.375,-8.5625,0
11270,3.875,-1.75,-7.4375,0
11290,3.6875,-0.5,-5.0625,0
